Index,Job_history,Job_type
1,elect attain partner serve year term member board director member person board establish compensation plan executive growth revenue target internal human resource growth plan employee firm support internal valuation initiative negotiation private equity firm potential acquisition target determinate appropriate price target integration point full management oversight responsibility contract pricing leadership team solution market contract value health research focus technology contract activity result growth revenue year period team include consultant analyst technologist scientist that serve environmental protection agency epa national institute health nih center disease control prevention cdc department energy doe serve attain cloud compute competency lead responsible execute relationship amazon web service build cross functional capability deliver infrastructure application development service federal state high education customer strategic leader attain executive team provide guidance corporate initiative well strategic expansion prospect federal health research regulatory marketspace activity include development annual marketing sale plan resource achieve target technical expansion idea successfully transition manage enterprise wide manage service contract support national institute environmental health science niehs network failure decrease customer service establish manage corporate partnership cisco network cloud esri establish capability growth service offer exist new client build corporate facility rtp develop go market strategy design increase attain brand awareness senior manager march november successfully grow portfolio technology service contract month lead activity sale cycle delivery service client organization manage responsibility person organization responsible provide technology strategy programmatic business finance information technology service multiple program federal government reserve component automation system rca cot get implementation army knowledge online korea transformation infrastructure service army logistic modernization program lmp nation wide sap implementation navy enterprise resource planning program navy erp nation wide sap implementation successfully renegotiate pass major professional service contract percent realign staff structure improve margin cornerstone project percent manage team responsible implementation attain iso base program project operational framework provide avenue consistent repeatable process management develop organizational balanced scorecard dod organization facilitate report monitoring program contract status multi dollar program define metric service level agreement serve proposal management subject matter expert major proposal effort non dod account include department health human service dhhs oracle application support service army enterprise system integration program aesip enterprise application service security exchange commission lean sigma support,Business Intelligence
2,work partnership level executive develop go market strategy healthcare business sector eam offer provider real estate infrastructure facility management solution world provide support business partner product positioning perform training program educate internal external sale force feature benefit integrate workplace management system key contribution directly involve new healthcare customer contract archibus lead growth healthcare center excellence web base knowledge sharing group customer member member create develop marketing material powerpoint presentation video software demonstration delivery new prospective customer sale channel perform customer presentation solution demonstration global sme healthcare eam service management cmms,Business Intelligence
3,geospatial analyst geological survey student contractor develop manage landscape model such chesapeake bay land change model cblcm model map high resolution land use chesapeake bay watershed webpage https chesapeake usgs gov phase perform geospatial statistical analyse large scale data management organization collaborate other researcher participate forum meeting datum stakeholder engage inform share research datum active help fnd optimal solution spatial problem programming,Business Intelligence
4,involve many aspect deliver salesforce solution delivery expert service roadmap project provide consulting service high education non profit client interested implement extend salesforce solution include conduct discovery session evaluate business process gather requirement architect solution design meet organizational business area objective develop project documentation client review approval configure customize salesforce include workflow process security set report dashboard collaborate technical architect colleague integration requirement perform datum migration include etl activity deliver site user system administrator training training material deployment post implementation support serve trust advisor role expert service project provide guidance recommendation good practice training material salesforce solution develop deliver roadmap documentation include recommendation process solution implement salesforce use methodology which align client need expectation,Business Intelligence
5,manage complex enterprise business intelligence program sec comprise operation maintenance solution delivery program project management dedicated development efort result solution complete year consistent delivery month agile sprint lead multiple project deliver robust business intelligence service international trade commission conference state bank supervisor leverage microstrategy analytic platform implement strategy delivery methodology governance drive exceptional program management delivery enterprise microstrategy professional service result prestigious award innovation delivery excellence obtain excellent cpar rating straight year jafer usmani leader business intelligence analytic big datum practice attain manage center excellence coe develop unique diferentiat intellectual property establish standardized delivery methodology build internal solution business development align strategic partnership vendor set training opportunity launch go market strategy lead business proposal development efort ciosp contract vehicle include capture opportunity client establish team agreement generate price lead proposal response,Business Intelligence
6,provide customer support service edx include communication edx application developer netl provide infrastructure manage daily operation edx system include account management public datum vetting general user training system demonstration help desk support work closely edx development team key stakeholder facilitate continual improvement workflow administrative protocol process procedure daily assist geologic fossil energy researcher netl various multi organizational team create key technical documentation include edx user manual help documentation weekly monthly report assist development numerous tool application advance netl research geocube geowell blosom edx wiki natcarb viewer vgm kmd create manage web content edx portfolio use wordpress offshore unconventional resource rare earth element carbon storage nrap radically engineer modular system system,Business Intelligence
7,serve lead database admin design team responsible installation configuration sql server enterprise database amazon cloud server continuously monitor manage database server which include not limit re index key testing backup restoration process archive old backup truncation log file lead member database migration team move sql server database sql server enterprise environment include move server that will be decommission new window server responsible database documentation which include process flow diagram relational diagram datum dictionary task develop complex solution meeting business rule pertain front face web application house application that need store procedure script write accomplish specific goal cbpo create multiple publication cover wide range document type that support cbpo database infrastructure server act member cbpo release planning board which be responsible set yearly monthly weekly deployment task responsible disperse database sprint task team member work application design team plan etl solution datum that ne collect disperse cbpo many system end user research develop new innovative way store deliver deployment manager push version control datum object use git,Business Intelligence
8,position responsible protect critical system perform digital forensic analysis internal investigation ediscovery cyber incident response malware detection analysis datum recovery daily include maintain request service receive forensic laboratory case management system intake examination case report manage coordinate provide report voip cell datum foia ediscovery request perform advanced forensic collection technique use encase ftk tool tableau device live boot wilson ndeh system deft helix paladin edge forensic acquisition analysis respond analyze network incident request identify witness device read analyze packet trace raw log dump support email network forensic investigation perform digital forensic datum acquisition support investigation audits conduct forensic analysis support electronic discovery foia case maintain biweekly log forensic activity that show forensic team accomplishment goal be be meet maintain proper chain custody evidence item perform datum recovery computer system reconstruct raid software hardware system recover datum perform behavioral analysis malware electronic device look possible embed cyber threat activity when attach system evidence custodian maintain manage chain custody evidence perform datum collection internal application server desktop system email use splunk nuix other tool support internal investigation other matter,Business Intelligence
9,plan facilitate forum senior dod defense industry leader engage dod information technology vulnerability result ground break open dialogue that pave way trailblaz solution draft staff policy process guidance implement deputy secretary defense decision increase security improve performance dod special access program information technology,Business Intelligence
10,provide raw datum analysis insight relate conduct census develop maintain census collection geography tabulation geography schedule risk register lesson learn collection documentation develop budget track datum review budget spending personnel charge review geographic delineation capability,Business Intelligence
11,support security exchange commission vital infrastructure provide support sec filer use edgar system conduct front end system test write xml transmission file participate federal contract bidding prepare clear federal government security clearance badge sec,Business Intelligence
12,management manage daily operation environmental protection agency office water storet wqx helpdesk track inquiry monthly regard user account technical question regard database issue water modeling question provide help desk support national estuary program application neport quarterly basis answer technical question support environmental protection agency committee national tribal water council organize manage facilitate meeting create agenda capture minute follow action conduct state water quality datum enter office water attain database state report congress provide support epa office water workgroup meeting need basis report produce weekly monthly report epa storet wqx helpdesk inquiry technical support support epa climate ready water utility initiative create storm surge inundation map,Business Intelligence
13,responsible grow cyber security team improve continuous monitoring risk management dod sustainment contract integrate cyber security good practice base national standard technology risk management framework software development lifecycle day day activity,Business Intelligence
14,create review update documentation require bookwork vlm vlg human resource system work liaison end user programmer lead project test document evaluate security functionality human resource bookwork accounting program ensure be implement correctly deliver require quality result schedule plan execute train financial officer class winpisinger center several time year create update user profile officer attend financial officer class create update spreadsheet user information grand lodge auditor use teach financial officer class communicate company duplicate department obtain user guide procure other material need financial officer class execute schedule monitor control tax payroll implementation process third party payroll company adp provide technical support problem solve various issue user field headquarters building phone email remotely gather document customer technical problem use helptrack system troubleshoot current future issue equivalent crm customer relationship management tool execute training end user use vlm vlodge virtual finance office iam bookwork system provide tier front backend system support vlg vlm virtual finance office iam bookwork system provide tax accounting relate support bookwork system assist end user complete receipt disbursement deposit bank reconciliation payroll tax report document validate customer request enhancement program sharepoint site manage timely completion special project give director assistant director safeguard confidentiality integrity availability system purview consolidate integrate payroll tax file third party vendor iam bookwork system execute database merger disbandment lodge district create manage user account bookwork vlm vlodge vlg system provide basic hardware support laptop provide afterhour support end user various program,Business Intelligence
15,life cycle cost estimate funding source contract table,Business Intelligence
16,program manager cyber program support june present manage team resource include subcontractor deliver enterprise cybersecurity program support department commerce responsible hire mentor develop resource onboarding client site responsible manage day day activity quality assurance deliverable product assume success failure team responsible financial management include maintain spend plan approve reject invoice project program revenue booking revenue develop standard operate procedure sop internal team process client process ensure consistency provide qualitative quantitative analysis presidential management council pmc report datum establish enterprise level project support compliance improvement risk assessment develop track corrective action plan completion strengthen security posture department draft memo broadcast department wide initiative communication,Business Intelligence
17,present knowledge consulting group kcg mantech international transportation security administration arlington virginia position responsible protect critical system perform digital forensic analysis internal investigation ediscovery cyber incident response malware detection analysis datum recovery daily include maintain request service receive forensic laboratory case management system intake examination case report manage coordinate provide report voip cell datum foia ediscovery request perform advanced forensic collection technique use encase ftk tool tableau device live boot system deft helix paladin edge forensic acquisition analysis respond analyze network incident request identify witness device read analyze packet trace raw log dump support email network forensic investigation perform digital forensic datum acquisition support investigation audits conduct forensic analysis support electronic discovery foia case maintain biweekly log forensic activity that show forensic team accomplishment goal be be meet maintain proper chain custody evidence item perform datum recovery computer system reconstruct raid software hardware system recover datum wilson ndeh page perform behavioral analysis malware electronic device look possible embed cyber threat activity when attach system evidence custodian maintain manage chain custody evidence perform datum collection internal application server desktop system email use splunk nuix other tool support internal investigation other matter,Business Intelligence
18,center disease control cdc information system security analyst national institute occupational safety health niosh serve liaison niosh division office chief information security officer ociso maintain software documentation effort new exist information system,Business Intelligence
