topic,term,weight
000,support,0.042963497
000,application,0.024243023
000,table,0.023891158
000,cot,0.021604164
000,office,0.021634486
000,ams,0.020665849
000,risk,0.020636708
000,database,0.016193666
000,oracle,0.014565677
000,sec,0.013861684
001,university,0.034637865
001,facility,0.018880866
001,project,0.016748741
001,construction,0.017082311
001,design,0.016615748
001,service,0.01627755
001,ucsd,0.013991971
001,campus,0.012866761
001,cost,0.0074280524
001,institution,0.008574422
002,consultant,0.027659284
002,party,0.029826967
002,client,0.02823355
002,datar,0.010743324
002,service,0.014346725
002,agreement,0.011375247
002,attain,0.011186401
002,confidential,0.007601884
002,information,0.012351558
002,aid,0.008955254
003,notar,0.0002779423
003,tax,0.0002779423
003,device,0.0002779423
003,expertise,0.0002779423
003,evidence,0.0002779423
003,equipment,0.0002779423
003,availability,0.0002779423
003,asset,0.00034061924
003,singlar,0.00034061924
003,restriction,0.00034061924
004,university,0.017668175
004,client,0.017397426
004,include,0.013825801
004,party,0.014767116
004,process,0.011341185
004,application,0.011527653
004,office,0.010579374
004,design,0.008829118
004,table,0.010745114
004,information,0.008762384
